,순위,제목,저자,역자,출판사,쪽수,발행일,가격
0,1,생에 감사해,김혜자,-,수오서재,376,20221222,15300
1,2,만일 내가 인생을 다시 산다면(10만 부 기념 스페셜 에디션),"김혜남, 김혜남",-,메이븐,280,20221111,15480
2,3,미스터 프레지던트,탁현민,-,메디치미디어,436,20230118,19800
3,4,안젤리크,기욤 뮈소,양영란,밝은세상,0,20221221,15120
4,5,원씽(The One Thing)(리커버 특별판),"게리 켈러, 제이 파파산",구세희,비즈니스북스,280,20130830,12600
5,6,스카이 버스,분당강쌤,-,다산에듀,280,20230103,16200
6,6,트렌드 코리아 2023,"김난도, 김난도, 추예린, 전미영, 전미영, 최지혜, 이수진, 권정윤, 이준영, 이향은, 한다혜, 이혜원",-,미래의창,424,20221005,17100
7,8,빅 히스토리,"데이비드 크리스천, 신시아 브라운, 크레이그 벤저민",-,웅진지식하우스,640,20221223,29700
8,8,이토록 평범한 미래,김연수,-,문학동네,276,20221007,12600
9,8,아버지의 해방일지,정지아,-,창비,268,20220902,13500
10,8,불편한 편의점 2(단풍 에디션),김호연,-,나무옆의자,320,20220810,12600
11,12,그릿(50만부 판매 기념 리커버 골드에디션),앤절라 더크워스,김미정,비즈니스북스,416,20221215,16200
12,12,부자 아빠 가난한 아빠 1(20주년 특별 기념판),로버트 기요사키,안진환,민음인,448,20221028,15300
13,12,해커스 토익 기출보카 TOEIC VOCA(토익보카) 단어장,David Cho,-,해커스어학연구소,566,20220314,11610
14,12,부의 추월차선(10주년 스페셜 에디션),엠제이 드마코,신소영,토트,392,20220204,15750
