,순위,제목,개봉일,예매율,평점
0,1,아바타-물의 길,2022.12.14,47.0,96.0
1,2,방탄소년단: 옛 투 컴 인 시네마,2023.02.01,11.7,99.0
2,3,교섭,2023.01.18,8.9,99.0
3,4,더 퍼스트 슬램덩크,2023.01.04,8.3,97.0
4,5,유령,2023.01.18,7.3,99.0
5,6,영웅,2022.12.21,4.1,94.0
6,7,장화신은 고양이-끝내주는 모험,2023.01.04,2.7,96.0
7,8,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",2022.11.30,1.6,91.0
8,9,스위치,2023.01.04,1.6,94.0
9,10,웃는남자 감독판,2023.01.02,1.4,97.0
10,11,프린스 챠밍,2023.01.11,1.1,88.0
11,12,마리앙투아네트,2023.01.02,0.8,98.0
12,13,위너 2022 콘서트 더 서클 - 더 무비,2023.01.25,0.6,96.0
13,14,시간을 꿈꾸는 소녀,2023.01.11,0.5,96.0
14,15,문맨,2023.01.11,0.5,72.0
15,16,올빼미,2022.11.23,0.2,98.0
16,17,3000년의 기다림,2023.01.04,0.2,90.0
17,18,해시태그 시그네,2023.01.11,0.2,
18,19,[아르코라이브]뮤지컬 호프,2023.01.02,0.1,98.0
