,관서명,주소,홈페이지
0,서울특별시경찰청,서울시 종로구 사직로8길 31,https://www.smpa.go.kr/
1,서울강남경찰서,서울시 강남구 테헤란로 114길 11,https://www.smpa.go.kr/gn/
2,서울강동경찰서,서울시 강동구 성내로 57,https://www.smpa.go.kr/gd/
3,서울강북경찰서,서울시 강북구 오패산로 406,https://www.smpa.go.kr/gb/
4,서울강서경찰서,서울시 강서구 화곡로 308,https://www.smpa.go.kr/gs/
5,서울관악경찰서,서울시 관악구 관악로5길 33,https://www.smpa.go.kr/ga/
6,서울광진경찰서,서울시 광진구 자양로 167,https://www.smpa.go.kr/gj/
7,서울구로경찰서,서울시 구로구 가마산로 235,https://www.smpa.go.kr/gr/
8,서울금천경찰서,서울시 금천구 시흥대로73길 50,https://www.smpa.go.kr/gc/
9,서울남대문경찰서,서울시 중구 한강대로 410,https://www.smpa.go.kr/ndm/
10,서울노원경찰서,서울시 노원구 노원로 283,https://www.smpa.go.kr/nw/
11,서울도봉경찰서,서울시 도봉구 노해로 403,https://www.smpa.go.kr/db/
12,서울동대문경찰서,서울시 동대문구 약령시로21길 29,https://www.smpa.go.kr/ddm/
13,서울동작경찰서,서울시 동작구 노량진로 148,https://www.smpa.go.kr/dj/
14,서울마포경찰서,서울시 마포구 마포대로 183,https://www.smpa.go.kr/mp/
15,서울방배경찰서,서울시 서초구 동작대로 204,https://www.smpa.go.kr/bb/
16,서울서대문경찰서,서울 서대문구 통일로 113,https://www.smpa.go.kr/sdm/
17,서울서부경찰서,서울시 은평구 진흥로 58,https://www.smpa.go.kr/seobu/
18,서울서초경찰서,서울시 서초구 반포대로 179,https://www.smpa.go.kr/sc/
19,서울성동경찰서,서울시 성동구 왕십리광장로 9,https://www.smpa.go.kr/sd/
20,서울성북경찰서,서울 성북구 보문로 170,https://www.smpa.go.kr/sb/
21,서울송파경찰서,서울시 송파구 중대로 221,https://www.smpa.go.kr/sp/
22,서울수서경찰서,서울시 강남구 개포로 617,https://www.smpa.go.kr/ss/
23,서울양천경찰서,서울시 양천구 목동동로 99,https://www.smpa.go.kr/yc/
24,서울영등포경찰서,서울시 영등포구 국회대로 608,https://www.smpa.go.kr/ydp/
25,서울용산경찰서,서울시 용산구 원효로89길 24,https://www.smpa.go.kr/ys/
26,서울은평경찰서,서울시 은평구 연서로 365,https://www.smpa.go.kr/ep/
27,서울종로경찰서,서울시 종로구 율곡로 46,https://www.smpa.go.kr/jn/
28,서울종암경찰서,서울시 성북구 화랑로7길 32,https://www.smpa.go.kr/ca/
29,서울중랑경찰서,서울시 중랑구 신내역로3길 40-10,https://www.smpa.go.kr/jnp/
30,서울중부경찰서,서울시 중구 수표로 27,https://www.smpa.go.kr/cb/
31,서울혜화경찰서,서울시 종로구 창경궁로 112-16,https://www.smpa.go.kr/hh/
